hundred_block,street_name,block,n_permits,n_types,first_date,last_date,mean_gap,duration,duration_wk,duration_mn,permits_mn,permits_wk,street_address,lon,lat
200,38TH PARALLEL PL,200 38TH PARALLEL PL,1,1,2013-09-12T00:00:00Z,2013-09-12T00:00:00Z,,0,0,0,Inf,Inf,"200 38TH PARALLEL PL, Philadelphia, PA",-75.1438201,39.9453456
800,66TH AVE,800 66TH AVE,3,1,2011-06-11T00:00:00Z,2013-08-17T00:00:00Z,399,798,114,26.6,0.112781954887218,0.0263157894736842,"800 66TH AVE, Philadelphia, PA",-75.1318734,40.0523324
1000,66TH AVE,1000 66TH AVE,2,1,2014-08-16T00:00:00Z,2015-09-19T00:00:00Z,399,399,57,13.3,0.150375939849624,0.0350877192982456,"1000 66TH AVE, Philadelphia, PA",-75.1342204,40.0523877
2000,66TH AVE,2000 66TH AVE,1,1,2009-09-05T00:00:00Z,2009-09-05T00:00:00Z,,0,0,0,Inf,Inf,"2000 66TH AVE, Philadelphia, PA",-75.151455,40.0545509
2100,66TH AVE,2100 66TH AVE,8,1,2007-06-10T00:00:00Z,2014-08-30T00:00:00Z,376.857142857143,2638,376.857142857143,87.9333333333334,0.0909780136467021,0.0212282031842305,"2100 66TH AVE, Philadelphia, PA",-75.1554872,40.0547439
1500,67TH AVE,1500 67TH AVE,7,1,2009-07-11T00:00:00Z,2014-08-23T00:00:00Z,311.5,1869,267,62.3,0.112359550561798,0.0262172284644195,"1500 67TH AVE, Philadelphia, PA",-75.1431121,40.0552383
1700,67TH AVE,1700 67TH AVE,6,1,2009-09-05T00:00:00Z,2015-06-20T00:00:00Z,422.8,2114,302,70.4666666666667,0.0851466414380322,0.0198675496688742,"1700 67TH AVE, Philadelphia, PA",-75.14618,40.055572
1800,67TH AVE,1800 67TH AVE,1,1,2012-05-12T00:00:00Z,2012-05-12T00:00:00Z,,0,0,0,Inf,Inf,"1800 67TH AVE, Philadelphia, PA",-75.14776,40.055802
1900,67TH AVE,1900 67TH AVE,1,1,2011-09-05T00:00:00Z,2011-09-05T00:00:00Z,,0,0,0,Inf,Inf,"1900 67TH AVE, Philadelphia, PA",-75.1494951,40.0562179
2000,67TH AVE,2000 67TH AVE,1,1,2011-09-24T00:00:00Z,2011-09-24T00:00:00Z,,0,0,0,Inf,Inf,"2000 67TH AVE, Philadelphia, PA",-75.1510791,40.0562898
1400,68TH AVE,1400 68TH AVE,8,1,2007-09-01T00:00:00Z,2014-08-02T00:00:00Z,361,2527,361,84.2333333333333,0.0949742777997626,0.0221606648199446,"1400 68TH AVE, Philadelphia, PA",-75.1408824,40.0566986
1700,68TH AVE,1700 68TH AVE,3,1,2008-08-09T00:00:00Z,2010-08-07T00:00:00Z,364,728,104,24.2666666666667,0.123626373626374,0.0288461538461538,"1700 68TH AVE, Philadelphia, PA",-75.145843,40.057122
1800,68TH AVE,1800 68TH AVE,7,1,2006-08-26T00:00:00Z,2011-11-05T00:00:00Z,316.166666666667,1897,271,63.2333333333333,0.11070110701107,0.025830258302583,"1800 68TH AVE, Philadelphia, PA",-75.147448,40.057214
2000,68TH AVE,2000 68TH AVE,19,1,2006-08-05T00:00:00Z,2016-05-21T00:00:00Z,198.722222222222,3577,511,119.233333333333,0.159351411797596,0.0371819960861057,"2000 68TH AVE, Philadelphia, PA",-75.1509089,40.0576014
800,69TH AVE,800 69TH AVE,5,1,2009-07-11T00:00:00Z,2015-07-25T00:00:00Z,551.25,2205,315,73.5,0.0680272108843538,0.0158730158730159,"800 69TH AVE, Philadelphia, PA",-75.1307915,40.0571364
1400,69TH AVE,1400 69TH AVE,10,1,2007-05-26T00:00:00Z,2015-09-12T00:00:00Z,336.777777777778,3031,433,101.033333333333,0.0989772352358957,0.023094688221709,"1400 69TH AVE, Philadelphia, PA",-75.1405647,40.0582259
2000,69TH AVE,2000 69TH AVE,1,1,2009-06-06T00:00:00Z,2009-06-06T00:00:00Z,,0,0,0,Inf,Inf,"2000 69TH AVE, Philadelphia, PA",-75.151141,40.0593598
1400,70TH AVE,1400 70TH AVE,2,1,2011-06-11T00:00:00Z,2015-08-15T00:00:00Z,1526,1526,218,50.8666666666667,0.0393184796854522,0.0091743119266055,"1400 70TH AVE, Philadelphia, PA",-75.1401964,40.0597342
1300,71ST AVE,1300 71ST AVE,6,1,2010-07-23T00:00:00Z,2015-08-15T00:00:00Z,369.8,1849,264.142857142857,61.6333333333333,0.0973499188750676,0.0227149810708491,"1300 71ST AVE, Philadelphia, PA",-75.1373345,40.0609323
1400,71ST AVE,1400 71ST AVE,1,1,2011-06-11T00:00:00Z,2011-06-11T00:00:00Z,,0,0,0,Inf,Inf,"1400 71ST AVE, Philadelphia, PA",-75.1398789,40.0612618
1900,71ST AVE,1900 71ST AVE,13,1,2006-09-10T00:00:00Z,2014-08-30T00:00:00Z,242.583333333333,2911,415.857142857143,97.0333333333333,0.133974579182412,0.0312607351425627,"1900 71ST AVE, Philadelphia, PA",-75.1478055,40.0621429
